,공원이름,주소,위도,경도,면적
0,송파나루,신천 32,37.4356522,126.7908876,285757
1,잠 실,잠실 230,37.5061814,127.084165,6613.3
2,삼 전1,삼전 62-1,37.5027949,127.0925158,6607.6
3,송 파,송파 113,37.5145437,127.1065971,6621.2
4,방 이,방이 52,37.5143996,127.113826,6930.1
5,태 양,풍납 389-2,37.5254846,127.1153815,6611.6
6,한 양,송파 152,37.5145437,127.1065971,4842.4
7,동 산,송파 120,37.5145437,127.1065971,5660.8
8,오 금<시공원>,오금 51,37.4970053,127.1410405,219167
9,백 토,오금 6,37.5081008,127.132105,10024.1
10,거 여1,거여 11,37.4970074,127.140981,16185.1
11,두댐이,문정 2,37.4898248,127.1108474,24015.9
12,건너말,가락 110,37.4916031,127.1234732,11327.8
13,목 련,오금 156,37.4990346,127.1388418,8127.4
14,마 천,마천 11,37.5014671,127.1454991,10962.5
15,가 락,가락 37,37.4981702,127.125291,27648.2
16,웃 말,가락 21,37.5016593,127.123126,11098.2
17,개 롱,가락 195,37.4934258,127.130021,21544.4
18,아시아,잠실 84,37.5106634,127.075919,66027.8
19,훼밀리,문정 150-5,37.4906498,127.1138034,10528.6
20,숯 내,문정 150-8,37.4896609,127.1112312,10206.5
21,연 화,문정 92,37.485146,127.129702,14318.2
22,송 이,송파 169,37.5145437,127.1065971,11193.9
23,누에머리,오금 110,37.5031845,127.1425152,18607.5
24,풍 납,풍납 74,37.5381029,127.1217795,24500
26,개나리1,잠실 44-6,37.5145437,127.1065971,6669.1
27,매미,잠실 35-4,37.5145437,127.1065971,8012.3
28,부리,잠실동 22-5,37.5061273,127.0842945,12898.9
29,뽕나무,잠실 19-3,37.5145437,127.1065971,11704.9
30,새내,신천동 17-9,37.5205154,127.1046253,2550
31,하늘가람,신천동 17-10,37.5211214,127.1094588,6612
32,온조마루,신천동 20-1,37.5205454,127.1103899,6734.2
33,글 샘,"문정동 621, 625",37.4851331,127.1238462,27289.9
34,한우물,"문정동 626,633",37.4851331,127.1238462,11385.8
35,글샘작은,문정동 631,37.4851331,127.1238462,10209.9
36,장 수,장지동 280-5,37.4813432,127.1307288,9949
37,널 문,마천동 229-3,37.4984914,127.1571127,24128
38,문 정,문정동18-4외,37.4870875,127.1299962,49972
39,장 지<시공원>,장지 산11,37.490265,127.136585,133531
40,문정 법조단지 근린공원1,문정동 653,37.4851331,127.1238462,36638.3
41,새마을,잠실본 209-4,37.5084128,127.086537,1667.3
42,뽕 밭,잠실본 220,37.5078129,127.081051,1125.6
43,삼밭나루,삼전 95,37.5051473,127.091713,1434.1
44,삼학사,삼전 110-7,37.5062322,127.0953233,1648
45,진달래,잠실본 338,37.5037007,127.086305,1738.1
46,쌀 섬,잠실본 319,37.5039468,127.082234,1646.7
47,부 렴,잠실본 296,37.5056247,127.079216,1659.8
48,석 촌,석촌 27,37.5059159,127.0998038,1638.4
49,오봉산,석촌 162,37.5060926,127.1022979,1508
50,돌마리,석촌 258,37.5005845,127.1032494,1715.6
51,아 랑,송파 44,37.5073533,127.1076931,1575.3
52,동호수,송파 34,37.4991753,127.1151862,1469.7
53,방잇골,방이 70-1,37.5133994,127.1103039,1629.6
54,옛동산,방이 121,37.5095773,127.115832,1266.3
55,아름(구. 삼전도비),석촌 289-3,37.5033219,127.1070599,2338.7
56,나루터,삼전 37,37.5015831,127.08671,1472.9
57,삼 전2,삼전 51,37.5017724,127.0902131,1644.7
58,삼 밭,삼전 70,37.4994882,127.092826,1646.1
59,몽 촌,방이 150,37.512921,127.114853,1560.8
60,어 사,송파 129,37.5145437,127.1065971,1653.4
61,새 싹,송파 107,37.5145437,127.1065971,1806.4
64,거 여2,거여 593-1,37.4926289,127.1427998,756.6
65,임금샘,방이 189,37.5111989,127.125041,1500.3
66,배 밭,송파 178,37.5064153,127.1052869,1475.8
67,가야금,오금 21,37.5086355,127.129312,1500
68,방 죽,가락본 28,37.5006955,127.122807,1492.1
69,샛 별,가락본 51,37.4979846,127.121763,1500
70,오동나무,오금 84,37.5062275,127.1338923,1500
71,아랫말,오금 123-2,37.5029895,127.1278734,1500
72,안산골,가락 152-3,37.4952783,127.1157128,1500.5
73,벌 말,오금 132,37.5016383,127.1402811,1502.1
74,한 샘,문정 66,37.4847538,127.124996,1688
75,큰바위,거여 7,37.4980964,127.1425315,1508.1
76,개 미,거여 29,37.4921627,127.1467348,1500.4
77,반딧불,문정 47,37.4891909,127.130206,1489.2
78,개나리2,문정 81,37.4900468,127.1241797,1312.2
79,비둘기,방이 195,37.5127864,127.123347,1500.2
80,중 대,송파 188,37.5145437,127.1065971,1497.8
81,훙 이,가락본 14,37.5011801,127.124731,1500
82,봉우리,가락본 85,37.4966358,127.119035,1495.2
83,새 말,가락본 145-10,37.4946288,127.125715,1498.1
84,팔각정,가락본 118,37.4926573,127.124117,1497.5
85,꿈나무,오금 117-1,37.5031905,127.1411013,1496.3
86,수 정,문정 23-5,37.4889975,127.126178,1494.6
87,솔 밭,방이 214,37.5090468,127.123748,1500.1
88,복숭아,오금 27,37.504105,127.127834,1500.3
89,큰 솔,오금 47,37.5040711,127.1278583,1500
90,안 골,오금 66-12,37.5028534,127.135296,1500.1
91,무궁화,가락 134,37.4952783,127.1157128,1500
92,투구봉,가락 185,37.5038921,127.12469,1502.9
93,샛팽이,가락 170-6,37.4952783,127.1157128,1500.7
94,능 골,가락 198,37.5038921,127.12469,1484.7
95,영 풍,거여 16,37.4951018,127.1424877,1500.4
97,희 망,문정 103,37.490047,127.1241801,1495.8
98,용 마,마천 45,37.4974727,127.1602003,1500.3
99,비석거리,가락본 96-15,37.4946191,127.117539,1624.5
104,곰 말,방이 139,37.512921,127.114853,1707.2
106,호순이,문정 150-3,37.4904501,127.132266,1560.2
107,굴렁쇠,문정 150-6,37.4902267,127.1124198,1596.1
108,호돌이,문정 150-11,37.487514,127.113537,1545.1
109,배미골,거여 291-1,37.4900434,127.1462058,1500.1
110,향나무,거여 293-2,37.493547,127.146788,1512.4
111,한림,장지동 834-2,37.4856647,127.1330623,1504
112,문현,장지동 838-1,37.4812764,127.1287497,1523
113,솔바람,장지동 843-2,37.47807,127.1288062,1500
114,버들,장지동 851-2,37.4773867,127.1285282,1886
115,도담,마천동 583,37.4959357,127.1498994,4138
116,천상,마천동 610,37.4959357,127.1498994,12464
118,대 건,가락 165,37.4952783,127.1157128,1500
119,거북이,송파동 167,37.5021264,127.1204141,1594
120,늘푸른,마천동 578,37.4968796,127.1485105,921
123,능안,거여 296-2,37.4900434,127.1462058,1597.8
124,벚 꽃,잠실 27-7,37.5145437,127.1065971,6637.9
126,신천교통,신천 7-15,37.5200705,127.0995,12755.5
127,가락 1(시영아파트),가락동 479,37.4976866,127.1066825,19159
128,향유(거마재정비),거여동 200-4일대,37.4944983,127.147743,10832
129,나무그늘(거마재정비),마천동 331-1일대,37.4905751,127.157161,17961
130,솔향(거마재정비),마천동 199-3일대,37.4990879,127.1543261,10042
131,문정법조단지 근린공원2 (2017~18년 인수 예정),문정동 638,37.4851331,127.1238462,21346.8
132,위례 근린공원 3호,거여동 산26-7임 일원,37.4903933,127.138707,42995
133,위례 근린공원 7호(2017~18년 인수 예정),장지동 393임 일원,37.4767627,127.1420133,12210
134,위례 근린공원 8호(2017~18년 인수 예정),장지동 393임 일원,37.4767627,127.1420133,10025
135,위례 근린공원 12호,장지동 산29임 일원,37.4845687,127.1369567,17872
136,가락1(시영아파트),가락동 479,37.4976866,127.1066825,1618
137,두레(거마재정비),마천동 364-5일대,37.4942782,127.1562452,7058
138,위례 어린이공원1호,거여동 산64,37.4903091,127.1524756,1594
139,문정동136 어린이공원,문정동 142일대,37.4873225,127.1347517,4685
140,잠실미성크로바,신천동 17-6일원,37.5174897,127.1068877,3644
141,잠실진주,신천동 20-4일원,37.5183239,127.1106923,4284
142,잠실주공 5단지 1호,잠실동 27일원,37.5061273,127.0842945,5777
143,잠실주공 5단지 2호,잠실동 27일원,37.5061273,127.0842945,6321
144,장미아파트 1호,신천동 7일원,37.5188607,127.0992536,5470
146,거여1(거마재정비),거여동181-143일대,37.4963374,127.1453823,1023
148,백제초기적석총,석촌 248,37.5018105,127.1027394,45137.8
149,방이동고분,방이 125,37.5078722,127.118159,30293.7
150,성내천,마천동,37.4942691,127.1561487,61050
152,올림픽공원,방이 88,37.5209657,127.116064,1447122
