호선,지하철역이름,위도,경도
05호선,발산,37.558598,126.837668
05호선,우장산,37.548768,126.836318
05호선,화곡,37.541513,126.840461
05호선,까치산,37.531768,126.846683
05호선,김포공항,37.562434,126.801058
05호선,송정,37.561184,126.811973
05호선,방화,37.577446,126.812741
09호선,양천향교,37.568381,126.841333
09호선,김포공항,37.562434,126.801058
09호선,가양,37.561391,126.854456
공항철도,마곡나루,37.567336,126.829497
09호선,염창,37.546936,126.874916
09호선,개화,37.578608,126.798153
09호선,신방화,37.567532,126.816601
09호선,증미,37.557402,126.861939
02호선,까치산,37.531768,126.846683
